m/GeV, Lambda/GeV, m/Lambda, Alpha(m), RPocket/Lambda, Yfo, Ysqo, xGBfo, TMReq/GeV, Gamma_GB/GeV, dilution_factor, Omegah2
4.0370172585965577e6,40370.17258596558,100.0,0.12403421398562192,1.0779275008542676e7,2.1964071017160664e-10,2.990096683975413e-17,13.142781853631199,7.167209378981471,6.182757571363296e-12,0.9970893396869828,0.0481809164171194
4.641588833612782e6,46415.88833612782,100.0,0.12403421398562192,9.507013214106577e6,2.517932190872357e-10,3.8651736362401726e-17,13.04723908536305,8.300893295690786,7.078685067806087e-12,0.9960676985892618,0.0715351805493622
5.336699231206313e6,53366.99231206313,100.0,0.12403421398562192,8.384914586701556e6,2.8864606737670277e-10,4.9962941367227383e-17,12.951757448809694,9.614369521174494,8.104511358154516e-12,0.9946883934844645,0.10617026984826342
6.135907273413176e6,61359.072734131754,100.0,0.12403421398562192,7.395255591099719e6,3.3088536772047886e-10,6.45835834480748e-17,12.856337728844974,11.136232785153874,9.279080334210868e-12,0.9928270268530374,0.15749604886187465
7.054802310718645e6,70548.02310718645,100.0,0.12403421398562192,6.69094115364137e6,3.7929721912498167e-10,8.034746029880528e-17,12.76098072499227,12.899639727092222,1.062397091331163e-11,0.990316770770584,0.2247120085840529
8.111308307896873e6,81113.08307896873,100.0,0.12403421398562192,6.096536382558423e6,4.3478225065701686e-10,9.890637574610437e-17,12.665687251779445,14.94303915415276,1.216389420239705e-11,0.986934641214822,0.3169558237206295
9.326033468832199e6,93260.334688322,99.99999999999999,0.12403421398562195,5.554936893090288e6,4.983722761970951e-10,1.2175067653722882e-16,12.57045813910428,17.311019630155695,1.3927148363855625e-11,0.982384083189303,0.4465240096072495
1.0722672220103232e7,107226.72220103232,100.0,0.12403421398562192,5.0614516095557595e6,5.712493658843443e-10,1.498695391026516e-16,12.47529423261072,20.055293323801894,1.594613957025171e-11,0.9762735982974853,0.6280339082617364
1.232846739442066e7,123284.67394420659,100.0,0.12403421398562192,4.611806198508006e6,6.547676840567885e-10,1.8448038028385155e-16,12.380196394076348,23.235838111646572,1.825797865468814e-11,0.968092053508698,0.8813960037515398
1.4174741629268048e7,141747.4162926805,100.0,0.12403421398562192,4.202106046503052e6,7.504784939830248e-10,2.2708149938876425e-16,12.285165501811468,26.92222349799187,2.0905164460636064e-11,0.9571830022374094,1.2333519594791016
1.6297508346206436e7,162975.08346206436,100.0,0.12403421398562192,3.828802526821283e6,8.601587874279594e-10,2.795168563504278e-16,12.190202451070196,31.19515006179671,2.393636649540666e-11,0.9427237589864379,1.7191303740862989
1.873817422860383e7,187381.7422860383,100.0,0.12403421398562192,3.4886622629604302e6,9.858440631452344e-10,3.4405578248323935e-16,12.095308154473985,36.14823696512128,2.740732132463012e-11,0.9237204161188707,2.3839207966669917
2.1544346900318824e7,215443.46900318822,100.00000000000001,0.12403421398562192,3.1787391226751255e6,1.1298658539352841e-9,4.2349106437703295e-16,12.000483542448015,41.890097669477605,3.138185924503778e-11,0.8990371345469692,3.2836008603144493
2.477076355991709e7,247707.6355991709,100.0,0.12403421398562192,2.8963486999888e6,1.2948946882987489e-9,5.212596337534451e-16,11.905729563670928,48.546750535002104,3.593308017834559e-11,0.8674846213821714,4.483843217743118
2.848035868435799e7,284803.5868435799,100.0,0.12403421398562192,2.6390450641533094e6,1.483989271497015e-9,6.415910707279005e-16,11.811047185538342,56.26441857320632,4.114470048459031e-11,0.827992555454474,6.0565505083590105
3.2745491628777318e7,327454.9162877732,100.0,0.12403421398562192,2.4045995741669047e6,1.700652783810296e-9,7.896903268152535e-16,11.716437394640671,65.21278146270248,4.711259554984288e-11,0.7798737125597722,8.072866316136086
3.7649358067924716e7,376493.58067924716,100.0,0.12403421398562192,2.1909815753520485e6,1.9488973229276426e-9,9.719625487498727e-16,11.62190119725576,75.58875322329739,5.3946566619186804e-11,0.7231431590952783,10.593184461436946
4.3287612810830615e7,432876.12810830615,100.0,0.12403421398562192,1.9963408107960294e6,2.2333176650671982e-9,1.1962896981909848e-15,11.527439619856848,87.62087091564605,6.177236448811373e-11,0.6587878858081332,13.656542148095703
4.977023564332114e7,497702.3564332114,100.0,0.12403421398562192,1.8189913953107407e6,2.5591756882351372e-9,1.4723708936425342e-15,11.433053709636427,101.57439366923866,7.07340074106543e-11,0.5888349794056034,17.273313980814272
5.72236765935022e7,572236.765935022,100.0,0.12403421398562192,1.657397213101694e6,2.932496994000404e-9,1.812141145341965e-15,11.338744535046603,117.75722756501484,8.099643601844988e-11,0.51611208451112,21.424315367508573
6.5793322465756826e7,657933.2246575683,100.0,0.12403421398562192,1.5101586126678705e6,3.3601814846946005e-9,2.230286529387616e-15,11.244513186356476,136.52681078836738,9.274855427214543e-11,0.44375098812076946,26.066154094430043
7.56463327554629e7,756463.3275546291,99.99999999999999,0.12403421398562195,1.3760002836900007e6,3.85012990504481e-9,2.744877999014638e-15,11.150360776227293,158.29811546462628,1.06206712600181e-10,0.37464115720026625,31.140211431561553
8.697490026177834e7,869749.0026177834,100.0,0.12403421398562192,1.2537602109026762e6,4.411388645307461e-9,3.3781511369794205e-15,11.056288440305897,183.55294820667197,1.216186975523092e-10,0.3110328781865016,36.58259087491545
1.0e8,1.0e6,100.0,0.12403421398562192,1.1423796092740195e6,5.054315432147348e-9,4.157465432716e-15,10.962297337837235,212.85076124323402,1.392683016572155e-10,0.2543612506762888,42.33258064373955
104.76157527896652,1.0,104.76157527896652,0.12279387184576569,1.5067600523675372e11,6.633444961329824e-15,1.1822981897145931e-25,20.4832673561252,0.000113914117936638,1.4988680383740898e-16,0.9999999999995752,4.958201706859336e-15
120.45035402587826,1.1497569953977358,104.76157527896652,0.12279387184576569,1.32891940478312e11,7.614648141502207e-15,1.4937077126644483e-25,20.384637842464905,0.000131607259512162,1.7146777174579815e-16,0.9999999999994291,7.202260907394158e-15
138.48863713938735,1.321941148466029,104.76157527896652,0.12279387184576569,1.1720690242843939e11,8.739830328146913e-15,1.9003874246846677e-25,20.292400700955206,0.00015200416115750855,1.9615848650825328e-16,0.9999999999992336,1.0535409844934503e-14
159.2282793341093,1.5199110829529336,104.76157527896652,0.12279387184576569,1.0337314608715242e11,1.0031719214573521e-14,2.458082828400582e-25,20.198560756936907,0.00017557979680997142,2.2440739526413785e-16,0.999999999998971,1.5667938589472834e-14
183.07382802953688,1.7475284000076838,104.76157527896652,0.12279387184576569,9.117216742828003e10,1.151536312329165e-14,3.179551249658556e-25,20.100011504165437,0.00020286387725895473,2.567276618016073e-16,0.9999999999986171,2.3301680217844838e-14
210.49041445120213,2.0092330025650473,104.76157527896652,0.12279387184576569,8.041125213082216e10,1.3218273227647302e-14,4.1103275077049097e-25,20.001490532880904,0.0002343930484386345,2.9370651257563966e-16,0.9999999999981417,3.463409919273036e-14
242.01282647943827,2.3101297000831598,104.76157527896652,0.12279387184576569,7.092043165841222e10,1.5172818811923232e-14,5.25044433064973e-25,19.902998097687416,0.00027082867651751863,3.3601593333964247e-16,0.9999999999975027,5.0866234331973954e-14
